Timestamp,Circuit.feeder_rdt1527-rhs0_1247x__LineLosses
2020-01-01 20:15:00,(74.0891668689496-33.03690087355372j)
2020-01-01 20:30:00,(76.12314973245768-30.339587614194336j)
2020-01-01 20:45:00,(75.09321674420984-32.041138530240126j)
2020-01-01 21:00:00,(68.176333443803-42.18643362850591j)
2020-01-01 21:15:00,(89.87436834950879-19.770205929592514j)
2020-01-01 21:30:00,(74.70395817412937-36.74820437549357j)
2020-01-01 21:45:00,(68.74151216006004-43.97841678902522j)
2020-01-01 22:00:00,(52.17998256708003-64.94884303361803j)
2020-01-01 22:15:00,(58.655227529313606-59.003388224530674j)
2020-01-01 22:30:00,(48.321009533832225-70.81161172311167j)
2020-01-01 22:45:00,(46.52836237686898-72.8587201727664j)
2020-01-01 23:00:00,(38.800947356035-83.76603142234225j)
2020-01-01 23:15:00,(36.486147822528565-87.0083375140297j)
2020-01-01 23:30:00,(35.08061058995118-89.0921636816418j)
2020-01-01 23:45:00,(34.980190877709774-89.3216373784018j)
