Hour=3154, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3157, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3160, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.03125.
Hour=3166, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.025.
Hour=3168, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3179, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3184, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.03125.
Hour=3190, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.025.
Hour=3192, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3204, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3207, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.03125.
Hour=3214, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.025.
Hour=3216, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3229, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3238, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3257, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3263, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3265, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3278, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3315, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3326, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3328, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3336, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3352, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3358, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3377, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3382, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3385, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3393, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3399, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3400, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.03125.
Hour=3406, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.025.
Hour=3407, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3422, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3432, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3448, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3455, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3473, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3479, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3496, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3502, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3520, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3527, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3555, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3566, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3569, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3575, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
