Timestamp,Circuit.feeder_rdt1527-rhs0_1247x__Losses
2020-01-01 09:15:00,(111251.11963903085-77545.30886943871j)
2020-01-01 09:30:00,(105639.91906290191-86216.25727537757j)
2020-01-01 09:45:00,(103539.7618383728-89304.9456112897j)
2020-01-01 10:00:00,(115724.73680427414-72822.98377749682j)
2020-01-01 10:15:00,(118278.55996608973-69337.13969639735j)
2020-01-01 10:30:00,(113161.5783753724-76499.30552015704j)
2020-01-01 10:45:00,(111420.30537836018-79260.11586874444j)
2020-01-01 11:00:00,(110184.03022933194-80241.95712998151j)
2020-01-01 11:15:00,(110112.37864609968-80338.9282159658j)
2020-01-01 11:30:00,(102515.96489990895-92079.90890922525j)
2020-01-01 11:45:00,(103508.54025590117-90627.64415455711j)
2020-01-01 12:00:00,(105327.8029526216-88103.39208023902j)
2020-01-01 12:15:00,(103547.74536878802-90906.67332857949j)
2020-01-01 12:30:00,(100082.04824666654-96247.1935600923j)
2020-01-01 12:45:00,(99459.47775782271-97050.78347561506j)
2020-01-01 13:00:00,(98536.73205262043-99060.69946876615j)
2020-01-01 13:15:00,(100542.34773712975-95942.64416520431j)
2020-01-01 13:30:00,(98276.31335573322-98658.32120993047j)
2020-01-01 13:45:00,(97646.8142596045-99169.89759652827j)
2020-01-01 14:00:00,(94458.9135013691-103965.61134527624j)
2020-01-01 14:15:00,(94543.36546406784-103768.25884619218j)
2020-01-01 14:30:00,(96643.45415990942-100262.04375566226j)
2020-01-01 14:45:00,(97794.40283786172-98173.84225424718j)
2020-01-01 15:00:00,(99026.17412733319-96268.02458713017j)
2020-01-01 15:15:00,(101127.34076073044-93305.56217196965j)
2020-01-01 15:30:00,(105097.13374724664-87361.67600221689j)
2020-01-01 15:45:00,(109701.08959960853-79996.34796858073j)
2020-01-01 16:00:00,(111392.47273160577-77221.68384417363j)
2020-01-01 16:15:00,(113147.38785970658-74677.25746651462j)
2020-01-01 16:30:00,(114858.03666559416-71733.96447774678j)
2020-01-01 16:45:00,(116530.67367741528-69040.66910370314j)
2020-01-01 17:00:00,(125692.28966231462-55167.225041666454j)
2020-01-01 17:15:00,(134375.51868292663-41965.667552009625j)
2020-01-01 17:30:00,(138131.89005863937-36274.86561781932j)
2020-01-01 17:45:00,(136870.2826774799-38319.08756597823j)
2020-01-01 18:00:00,(141624.22942652047-31154.570536300555j)
2020-01-01 18:15:00,(137404.8419479749-37495.14992014899j)
2020-01-01 18:30:00,(141070.7051330799-31913.834423798042j)
2020-01-01 18:45:00,(147535.7818619744-22968.13904559628j)
2020-01-01 19:00:00,(152197.6565247293-16347.073961675422j)
2020-01-01 19:15:00,(151822.89208803725-16982.465473486187j)
2020-01-01 19:30:00,(155412.93830849757-11430.34142979137j)
2020-01-01 19:45:00,(152778.7545351642-15405.308118892925j)
2020-01-01 20:00:00,(146342.1740881304-25245.7071031087j)
2020-01-01 20:15:00,(152556.23716052863-16075.018578458916j)
2020-01-01 20:30:00,(154634.2845256379-13115.008599359675j)
2020-01-01 20:45:00,(153472.664525748-15224.006086638055j)
2020-01-01 21:00:00,(146125.28609275565-26636.768292664987j)
2020-01-01 21:15:00,(169587.5496203125+2702.1614331620644j)
2020-01-01 21:30:00,(152977.3806760673-19268.10385769444j)
2020-01-01 21:45:00,(146443.69074085692-28089.646762718112j)
2020-01-01 22:00:00,(128774.78521970204-53262.08107322949j)
2020-01-01 22:15:00,(135857.80672205877-44961.86359047333j)
2020-01-01 22:30:00,(124853.50992855657-59849.6241433695j)
2020-01-01 22:45:00,(122860.95923742103-62360.756756925286j)
2020-01-01 23:00:00,(114777.34587331073-74900.26316091753j)
2020-01-01 23:15:00,(112387.52701563947-78630.73621022968j)
2020-01-01 23:30:00,(110931.64836137963-81011.97813211777j)
2020-01-01 23:45:00,(110814.36433617548-81258.2501679968j)
