,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:rdt1124-rdt1124lv),1,3,3,rdt1124lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1124.3', 'rdt1124lv.1.0', 'rdt1124lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4687016, (107.56), 13.57379, (-72.885), 13.57203, (-72.853), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1125-rdt1125lv),1,3,3,rdt1125lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1125.1', 'rdt1125lv.1.0', 'rdt1125lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.703749, (-9.669), 50.34786, (170.17), 50.33959, (170.23), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1126-rdt1126lv),1,3,3,rdt1126lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1126.1', 'rdt1126lv.1.0', 'rdt1126lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1076365, (-31.09), 2.985303, (146.15), 2.984975, (146.16), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1127-rdt1127lv),1,3,3,rdt1127lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1127.1', 'rdt1127lv.1.0', 'rdt1127lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3836078, (-28.478), 11.25734, (150.84), 11.25417, (150.86), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1128-rdt1128lv),1,3,3,rdt1128lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1128.1', 'rdt1128lv.1.0', 'rdt1128lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3838121, (-28.473), 11.26347, (150.84), 11.26028, (150.87), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1129-rdt1129lv),1,3,3,rdt1129lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1129.1', 'rdt1129lv.1.0', 'rdt1129lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1122578, (-26.234), 3.111592, (151.51), 3.111264, (151.52), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1130-rdt1130lv),1,3,3,rdt1130lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1130.1', 'rdt1130lv.1.0', 'rdt1130lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1013451, (-30.368), 2.794804, (146.75), 2.794513, (146.75), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1131-rdt1131lv),1,3,3,rdt1131lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1131.3', 'rdt1131lv.1.0', 'rdt1131lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5406439, (102.25), 15.74634, (-78.283), 15.74319, (-78.247), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1132-rdt1132lv),1,3,3,rdt1132lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1132.3', 'rdt1132lv.1.0', 'rdt1132lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7768835, (115.78), 22.812, (-64.318), 22.81026, (-64.264), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1133-rdt1133lv),1,3,3,rdt1133lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1133.3', 'rdt1133lv.1.0', 'rdt1133lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1030006, (91.787), 2.838872, (-90.862), 2.838582, (-90.854), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1134-rdt1134lv),1,3,3,rdt1134lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1134.1', 'rdt1134lv.1.0', 'rdt1134lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1191302, (-28.953), 3.324179, (148.73), 3.323796, (148.73), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
