,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:rdt1802-rdt1802lv),1,3,3,rdt1802lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1802.2', 'rdt1802lv.1.0', 'rdt1802lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3212767, (-148.33), 9.380026, (30.838), 9.377779, (30.86), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1803-rdt1803lv),1,3,3,rdt1803lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1803.2', 'rdt1803lv.1.0', 'rdt1803lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.2035244, (-150.92), 5.85384, (27.649), 5.852802, (27.663), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1804-rdt1804lv),1,3,3,rdt1804lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1804.1', 'rdt1804lv.1.0', 'rdt1804lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.465851, (-7.7186), 43.47694, (172.16), 43.46659, (172.26), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1805-rdt1805lv),1,3,3,rdt1805lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1805.1', 'rdt1805lv.1.0', 'rdt1805lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3756913, (-28.666), 11.01391, (150.62), 11.01089, (150.65), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1806-rdt1806lv),1,3,3,rdt1806lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1806.1', 'rdt1806lv.1.0', 'rdt1806lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1068554, (-27.006), 2.945144, (150.51), 2.944846, (150.52), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1807-rdt1807lv),1,3,3,rdt1807lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1807.2', 'rdt1807lv.1.0', 'rdt1807lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.409466, (-126.45), 41.78185, (53.442), 41.77416, (53.534), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1808-rdt1808lv),1,3,3,rdt1808lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1808.1', 'rdt1808lv.1.0', 'rdt1808lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1168758, (-29.102), 3.25078, (148.48), 3.250419, (148.49), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1809-rdt1809lv),1,3,3,rdt1809lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1809.2', 'rdt1809lv.1.0', 'rdt1809lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8772424, (-129.66), 25.81664, (50.148), 25.81224, (50.206), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1810-rdt1810lv),1,3,3,rdt1810lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1810.1', 'rdt1810lv.1.0', 'rdt1810lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5969112, (-6.9422), 17.40303, (172.87), 17.4014, (172.91), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1811-rdt1811lv),1,3,3,rdt1811lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1811.3', 'rdt1811lv.1.0', 'rdt1811lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3887342, (110.3), 11.15971, (-70.099), 11.15866, (-70.073), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1812-rdt1812lv),1,3,3,rdt1812lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1812.3', 'rdt1812lv.1.0', 'rdt1812lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8038599, (91.449), 23.41363, (-89.462), 23.40848, (-89.437), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1813-rdt1813lv),1,3,3,rdt1813lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1813.3', 'rdt1813lv.1.0', 'rdt1813lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.2397477, (103.45), 6.703636, (-77.722), 6.703042, (-77.706), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1814-rdt1814lv),1,3,3,rdt1814lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1814.3', 'rdt1814lv.1.0', 'rdt1814lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.20267, (94.264), 5.621907, (-87.906), 5.62133, (-87.893), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1815-rdt1815lv),1,3,3,rdt1815lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1815.3', 'rdt1815lv.1.0', 'rdt1815lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4945383, (93.083), 14.38192, (-87.813), 14.37819, (-87.782), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1816-rdt1816lv),1,3,3,rdt1816lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1816.2', 'rdt1816lv.1.0', 'rdt1816lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1100292, (-146.25), 3.038178, (31.39), 3.037866, (31.398), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1817-rdt1817lv),1,3,3,rdt1817lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1817.2', 'rdt1817lv.1.0', 'rdt1817lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1167431, (-148.97), 3.246192, (28.602), 3.245828, (28.61), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1818-rdt1818lv),1,3,3,rdt1818lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1818.1', 'rdt1818lv.1.0', 'rdt1818lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.376038, (-28.649), 11.02428, (150.64), 11.02125, (150.66), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1819-rdt1819lv),1,3,3,rdt1819lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1819.1', 'rdt1819lv.1.0', 'rdt1819lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7209099, (-29.28), 21.18515, (150.06), 21.1766, (150.1), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1820-rdt1820lv),1,3,3,rdt1820lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1820.1', 'rdt1820lv.1.0', 'rdt1820lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6486946, (-29.447), 19.01867, (149.81), 19.01184, (149.85), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1821-rdt1821lv),1,3,3,rdt1821lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1821.1', 'rdt1821lv.1.0', 'rdt1821lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3494996, (-28.708), 10.03831, (149.94), 10.03636, (149.97), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1822-rdt1822lv),1,3,3,rdt1822lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1822.1', 'rdt1822lv.1.0', 'rdt1822lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.722905, (-21.248), 50.94949, (158.42), 50.93156, (158.48), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1823-rdt1823lv),1,3,3,rdt1823lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1823.3', 'rdt1823lv.1.0', 'rdt1823lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4439456, (93.121), 12.86373, (-87.877), 12.8607, (-87.849), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1824-rdt1824lv),1,3,3,rdt1824lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1824.2', 'rdt1824lv.1.0', 'rdt1824lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1632175, (-147.66), 4.636551, (30.708), 4.635899, (30.72), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1825-rdt1825lv),1,3,3,rdt1825lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1825.3', 'rdt1825lv.1.0', 'rdt1825lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.459832, (115.26), 13.2875, (-64.897), 13.28673, (-64.866), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1826-rdt1826lv),1,3,3,rdt1826lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1826.2', 'rdt1826lv.1.0', 'rdt1826lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1631254, (-147.67), 4.633804, (30.701), 4.633155, (30.713), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1827-rdt1827lv),1,3,3,rdt1827lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1827.3', 'rdt1827lv.1.0', 'rdt1827lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.497713, (111.85), 44.433, (-68.28), 44.42133, (-68.183), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1828-rdt1828lv),1,3,3,rdt1828lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1828.1', 'rdt1828lv.1.0', 'rdt1828lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.202475, (-29.739), 5.819528, (148.88), 5.818533, (148.89), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1829-rdt1829lv),1,3,3,rdt1829lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1829.2', 'rdt1829lv.1.0', 'rdt1829lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1472288, (-147.07), 4.1556, (31.148), 4.155066, (31.158), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1830-rdt1830lv),1,3,3,rdt1830lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1830.2', 'rdt1830lv.1.0', 'rdt1830lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.4106721, (-125.33), 12.02877, (54.551), 12.0276, (54.582), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1831-rdt1831lv),1,3,3,rdt1831lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1831.2', 'rdt1831lv.1.0', 'rdt1831lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.09933419, (-150.35), 2.72811, (26.637), 2.727833, (26.643), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1832-rdt1832lv),3,2,2,rdt1832lv,wye ,0.48,100,1,0.805475,-1,0,"['rdt1832', 'rdt1832lv']","['wye', 'wye']","['12.47', '0.48']","['100', '100']","['1', '1']",3.29,35,30,['3.29'],2,.8,.8,65,15,1.61095,0.62,110,150,n,1.1,0.9,32,,0,1,"['0.805475', '0.805475']",,,NO,3.29,35,30,Lag,"0.2537222, (-5.3004), 5.823181, (174.16), 0.2535116, (-125.19), 5.816315, (54.278), 0.253463, (114.83), 5.815068, (-65.699), ",shell,0.005258141,1,['1100'],5.0929,6.9449,0.007,100,36,60,True,
Transformer.tr(r:rdt1833-rdt1833lv),1,3,3,rdt1833lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1833.2', 'rdt1833lv.1.0', 'rdt1833lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3225337, (-147.25), 9.415135, (31.955), 9.412983, (31.977), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1834-rdt1834lv),1,3,3,rdt1834lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1834.2', 'rdt1834lv.1.0', 'rdt1834lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.08228732, (-148.14), 2.211559, (28.393), 2.211373, (28.399), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1835-rdt1835lv),1,3,3,rdt1835lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1835.2', 'rdt1835lv.1.0', 'rdt1835lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.07875498, (-145.51), 2.099186, (31.166), 2.099021, (31.172), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1836-rdt1836lv),1,3,3,rdt1836lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1836.2', 'rdt1836lv.1.0', 'rdt1836lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1166936, (-148.95), 3.244673, (28.617), 3.244311, (28.626), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1837-rdt1837lv),1,3,3,rdt1837lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1837.3', 'rdt1837lv.1.0', 'rdt1837lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6943256, (116.1), 20.32222, (-63.985), 20.32092, (-63.939), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1838-rdt1838lv),1,3,3,rdt1838lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1838.2', 'rdt1838lv.1.0', 'rdt1838lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5006461, (-149.18), 14.57452, (29.864), 14.57041, (29.895), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1839-rdt1839lv),1,3,3,rdt1839lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1839.3', 'rdt1839lv.1.0', 'rdt1839lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3658267, (92.786), 10.52129, (-88.445), 10.51926, (-88.422), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1840-rdt1840lv),1,3,3,rdt1840lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1840.1', 'rdt1840lv.1.0', 'rdt1840lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3445538, (-30.455), 9.897461, (148.1), 9.895467, (148.12), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1841-rdt1841lv),1,3,3,rdt1841lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1841.3', 'rdt1841lv.1.0', 'rdt1841lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.2509416, (94.446), 7.0685, (-87.273), 7.067606, (-87.256), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
