,Transformer,HighSideConnection,NumPhases
206,Transformer.tr(r:rdt1642-rdt1642lv),wye,1
207,Transformer.tr(r:rdt1643-rdt1643lv),wye,1
208,Transformer.tr(r:rdt1644-rdt1644lv),wye,1
209,Transformer.tr(r:rdt1645-rdt1645lv),wye,1
210,Transformer.tr(r:rdt1646-rdt1646lv),wye,1
211,Transformer.tr(r:rdt1647-rdt1647lv),wye,1
212,Transformer.tr(r:rdt1648-rdt1648lv),wye,1
213,Transformer.tr(r:rdt1649-rdt1649lv),wye,1
214,Transformer.tr(r:rdt1650-rdt1650lv),wye,1
215,Transformer.tr(r:rdt1651-rdt1651lv),wye,1
216,Transformer.tr(r:rdt1652-rdt1652lv),wye,1
217,Transformer.tr(r:rdt1653-rdt1653lv),wye,1
218,Transformer.tr(r:rdt1654-rdt1654lv),wye,1
219,Transformer.tr(r:rdt1655-rdt1655lv),wye,1
220,Transformer.tr(r:rdt1656-rdt1656lv),wye,1
221,Transformer.tr(r:rdt1657-rdt1657lv),wye,1
222,Transformer.tr(r:rdt1658-rdt1658lv),wye,1
223,Transformer.tr(r:rdt1659-rdt1659lv),wye,1
224,Transformer.tr(r:rdt1660-rdt1660lv),wye,1
225,Transformer.tr(r:rdt1661-rdt1661lv),wye,1
226,Transformer.tr(r:rdt1662-rdt1662lv),wye,1
227,Transformer.tr(r:rdt1663-rdt1663lv),wye,1
228,Transformer.tr(r:rdt1664-rdt1664lv),wye,1
229,Transformer.tr(r:rdt1665-rdt1665lv),wye,1
230,Transformer.tr(r:rdt1666-rdt1666lv),wye,1
231,Transformer.tr(r:rdt1667-rdt1667lv),wye,1
232,Transformer.tr(r:rdt1668-rdt1668lv),wye,1
233,Transformer.tr(r:rdt1669-rdt1669lv),wye,1
234,Transformer.tr(r:rdt1670-rdt1670lv),wye,1
235,Transformer.tr(r:rdt1671-rdt1671lv),wye,1
236,Transformer.tr(r:rdt1672-rdt1672lv),wye,1
237,Transformer.tr(r:rdt1673-rdt1673lv),wye,1
238,Transformer.tr(r:rdt1674-rdt1674lv),wye,1
239,Transformer.tr(r:rdt1675-rdt1675lv),wye,1
240,Transformer.tr(r:rdt1676-rdt1676lv),wye,1
241,Transformer.tr(r:rdt1677-rdt1677lv),wye,1
242,Transformer.tr(r:rdt1678-rdt1678lv),wye,1
243,Transformer.tr(r:rdt1679-rdt1679lv),wye,1
244,Transformer.tr(r:rdt1680-rdt1680lv),wye,1
245,Transformer.tr(r:rdt1681-rdt1681lv),wye,1
246,Transformer.tr(r:rdt1682-rdt1682lv),wye,1
247,Transformer.tr(r:rdt1683-rdt1683lv),wye,1
248,Transformer.tr(r:rdt1684-rdt1684lv),wye,1
249,Transformer.tr(r:rdt1685-rdt1685lv),wye,1
250,Transformer.tr(r:rdt1686-rdt1686lv),wye,1
251,Transformer.tr(r:rdt1687-rdt1687lv),wye,1
252,Transformer.tr(r:rdt1688-rdt1688lv),wye,1
253,Transformer.tr(r:rdt1689-rdt1689lv),wye,1
254,Transformer.tr(r:rdt1690-rdt1690lv),wye,1
255,Transformer.tr(r:rdt1691-rdt1691lv),wye,1
256,Transformer.tr(r:rdt1692-rdt1692lv),wye,1
257,Transformer.tr(r:rdt1693-rdt1693lv),wye,1
258,Transformer.tr(r:rdt1694-rdt1694lv),wye,1
259,Transformer.tr(r:rdt1695-rdt1695lv),wye,1
260,Transformer.tr(r:rdt1696-rdt1696lv),wye,1
261,Transformer.tr(r:rdt1697-rdt1697lv),wye,1
262,Transformer.tr(r:rdt1698-rdt1698lv),wye,1
263,Transformer.tr(r:rdt1699-rdt1699lv),wye,1
264,Transformer.tr(r:rdt1700-rdt1700lv),wye,1
265,Transformer.tr(r:rdt1701-rdt1701lv),wye,1
266,Transformer.tr(r:rdt1702-rdt1702lv),wye,1
267,Transformer.tr(r:rdt1703-rdt1703lv),wye,1
268,Transformer.tr(r:rdt1704-rdt1704lv),wye,1
269,Transformer.tr(r:rdt1705-rdt1705lv),wye,1
270,Transformer.tr(r:rdt1706-rdt1706lv),wye,1
271,Transformer.tr(r:rdt1707-rdt1707lv),wye,1
272,Transformer.tr(r:rdt1708-rdt1708lv),wye,1
273,Transformer.tr(r:rdt1709-rdt1709lv),wye,1
274,Transformer.tr(r:rdt1710-rdt1710lv),wye,1
275,Transformer.tr(r:rdt1711-rdt1711lv),wye,1
276,Transformer.tr(r:rdt1712-rdt1712lv),wye,1
277,Transformer.tr(r:rdt1713-rdt1713lv),wye,1
278,Transformer.tr(r:rdt1714-rdt1714lv),wye,1
279,Transformer.tr(r:rdt1715-rdt1715lv),wye,1
280,Transformer.tr(r:rdt1716-rdt1716lv),wye,1
281,Transformer.tr(r:rdt1717-rdt1717lv),wye,1
282,Transformer.tr(r:rdt1718-rdt1718lv),wye,1
283,Transformer.tr(r:rdt1719-rdt1719lv),wye,1
284,Transformer.tr(r:rdt1720-rdt1720lv),wye,1
285,Transformer.tr(r:rdt1721-rdt1721lv),wye,1
286,Transformer.tr(r:rdt1722-rdt1722lv),wye,1
287,Transformer.tr(r:rdt1723-rdt1723lv),wye,1
288,Transformer.tr(r:rdt1724-rdt1724lv),wye,1
289,Transformer.tr(r:rdt1725-rdt1725lv),wye,1
290,Transformer.tr(r:rdt1726-rdt1726lv),wye,3
