Timestamp,Circuit.feeder_idt629-ihs0_1247x__LineLosses
2020-01-01 15:30:00,(9.0542144487353+19.58578649078592j)
2020-01-01 15:45:00,(9.124116189903113+19.906741659257484j)
2020-01-01 16:00:00,(9.376496389872319+20.714571177647713j)
2020-01-01 16:15:00,(10.272308436981218+24.765703453706884j)
2020-01-01 16:30:00,(10.039012995448891+23.935268888641776j)
2020-01-01 16:45:00,(10.855307519339807+27.472201246101363j)
2020-01-01 17:00:00,(11.567976769640318+30.336780118279087j)
2020-01-01 17:15:00,(11.560480234560448+30.42212143758837j)
2020-01-01 17:30:00,(12.27889577068176+33.20692953910213j)
2020-01-01 17:45:00,(12.68373423756897+34.837680693572274j)
2020-01-01 18:00:00,(12.764305734141502+35.199555257846356j)
2020-01-01 18:15:00,(11.61760635107206+30.392364193257002j)
2020-01-01 18:30:00,(10.824348084744768+26.95157244138287j)
2020-01-01 18:45:00,(9.178423529045842+19.63830416138802j)
2020-01-01 19:00:00,(7.544317264414349+12.601641405548236j)
2020-01-01 19:15:00,(7.26825252469786+11.413186047886239j)
2020-01-01 19:30:00,(6.838972416333629+9.532518907040012j)
2020-01-01 19:45:00,(6.634083317889155+8.468440771565714j)
2020-01-01 20:00:00,(6.7114185347421005+8.545936541348993j)
2020-01-01 20:15:00,(6.786413682847503+8.704979461931053j)
2020-01-01 20:30:00,(6.868077163185366+9.091092069822299j)
2020-01-01 20:45:00,(7.249976780658121+10.566588114513122j)
2020-01-01 21:00:00,(7.334606285317958+10.774751436468222j)
2020-01-01 21:15:00,(7.146853436490334+9.843785438451857j)
2020-01-01 21:30:00,(7.179217104045821+9.888986019462852j)
2020-01-01 21:45:00,(7.160781850904752+9.796678213637115j)
2020-01-01 22:00:00,(7.017760459068711+9.154416447152249j)
2020-01-01 22:15:00,(7.2218693548501305+9.969083525694275j)
2020-01-01 22:30:00,(7.270362941362044+10.170757500216835j)
2020-01-01 22:45:00,(7.094966577259647+9.387472251383715j)
2020-01-01 23:00:00,(7.097272890312614+9.498948663666678j)
2020-01-01 23:15:00,(7.108779676147593+9.57080537526266j)
2020-01-01 23:30:00,(6.9059387818504865+8.707377490824449j)
2020-01-01 23:45:00,(6.956522513489798+8.869323813387219j)
