,Transformer,HighSideConnection,NumPhases
234,Transformer.tr(r:p2udt12147-p2udt12147lv),wye,1
235,Transformer.tr(r:p2udt12148-p2udt12148lv),wye,1
236,Transformer.tr(r:p2udt12149-p2udt12149lv),wye,1
237,Transformer.tr(r:p2udt12150-p2udt12150lv),wye,1
238,Transformer.tr(r:p2udt12151-p2udt12151lv),wye,1
239,Transformer.tr(r:p2udt12152-p2udt12152lv),wye,1
240,Transformer.tr(r:p2udt12153-p2udt12153lv),wye,1
241,Transformer.tr(r:p2udt12154-p2udt12154lv),wye,1
242,Transformer.tr(r:p2udt12155-p2udt12155lv),wye,1
243,Transformer.tr(r:p2udt12156-p2udt12156lv),wye,1
244,Transformer.tr(r:p2udt12157-p2udt12157lv),wye,1
245,Transformer.tr(r:p2udt12158-p2udt12158lv),wye,1
246,Transformer.tr(r:p2udt12159-p2udt12159lv),wye,1
247,Transformer.tr(r:p2udt12160-p2udt12160lv),wye,1
248,Transformer.tr(r:p2udt12161-p2udt12161lv),wye,1
249,Transformer.tr(r:p2udt12162-p2udt12162lv),wye,1
250,Transformer.tr(r:p2udt12165-p2udt12165lv),wye,1
251,Transformer.tr(r:p2udt12167-p2udt12167lv),delta,3
252,Transformer.tr(r:p2udt12168-p2udt12168lv),delta,3
253,Transformer.tr(r:p2udt12186-p2udt12186lv),wye,1
