Timestamp,Circuit.feeder_idt226-ihs3_1247x__TotalPower
2020-01-01 20:15:00,(-2954.2050370416882-69.90407743225293j)
2020-01-01 20:30:00,(-2864.196198988505-86.96315227142323j)
2020-01-01 20:45:00,(-2695.8073147081045-73.89335211375945j)
2020-01-01 21:00:00,(-2450.6261987231733-44.840258968419306j)
2020-01-01 21:15:00,(-2254.4224521681617-11.86215946112602j)
2020-01-01 21:30:00,(-1992.2930772886561+45.95175746963432j)
2020-01-01 21:45:00,(-1873.8132066602675+15.030663419591447j)
2020-01-01 22:00:00,(-1679.9828903079392+37.29651247892561j)
2020-01-01 22:15:00,(-1523.8706544704824+45.605998547147614j)
2020-01-01 22:30:00,(-1408.3662509997407+55.58863866193553j)
2020-01-01 22:45:00,(-1263.1179359620537+103.6813832492088j)
2020-01-01 23:00:00,(-1293.784819415333+57.60776006521059j)
2020-01-01 23:15:00,(-1265.548099654432+61.82851383005409j)
2020-01-01 23:30:00,(-1245.8638365816423+67.5912960113398j)
2020-01-01 23:45:00,(-1253.8929683383187+59.75870506636121j)
