Timestamp,Circuit.feeder_rdt137-rhs1_1247x__Losses
2020-01-01 14:15:00,(164207.47284405804-77321.04119813745j)
2020-01-01 14:30:00,(165217.7982986398-75623.89885606233j)
2020-01-01 14:45:00,(164593.61211871044-76404.82727869305j)
2020-01-01 15:00:00,(164649.78304940392-76276.70459203151j)
2020-01-01 15:15:00,(164098.56729014832-77210.21121929743j)
2020-01-01 15:30:00,(166083.43888583008-74214.69916749897j)
2020-01-01 15:45:00,(168999.78553455594-69508.70698113182j)
2020-01-01 16:00:00,(170313.56545182184-67626.83978110796j)
2020-01-01 16:15:00,(171490.7090490393-65793.65026795864j)
2020-01-01 16:30:00,(175213.8161792676-59579.29905601211j)
2020-01-01 16:45:00,(177576.27450470516-55649.21952474437j)
2020-01-01 17:00:00,(184268.22045590106-45033.27893245909j)
2020-01-01 17:15:00,(191982.66990651694-33021.49789374227j)
2020-01-01 17:30:00,(196746.82247771643-25599.622500867255j)
2020-01-01 17:45:00,(196899.16890267018-25061.6565799369j)
2020-01-01 18:00:00,(205557.7002773059-12153.899181273071j)
2020-01-01 18:15:00,(203658.78562761412-14800.148002752383j)
2020-01-01 18:30:00,(206051.31407761303-10874.748474301567j)
2020-01-01 18:45:00,(211714.20422703223-2042.6555163136072j)
2020-01-01 19:00:00,(214752.4726748901+2225.721843919626j)
2020-01-01 19:15:00,(213883.58590430653+775.8192907919693j)
2020-01-01 19:30:00,(215996.15283988646+3946.7864951351394j)
2020-01-01 19:45:00,(213218.2691786822-645.7581703456981j)
2020-01-01 20:00:00,(207518.4617868702-9941.472332265486j)
2020-01-01 20:15:00,(211374.25882563507-4431.329264243997j)
2020-01-01 20:30:00,(212997.67138355016-2254.1635610694284j)
2020-01-01 20:45:00,(208257.99064073045-9904.560589248777j)
2020-01-01 21:00:00,(196775.10134623188-28748.45372338126j)
2020-01-01 21:15:00,(200182.69865161632-30845.080367345356j)
2020-01-01 21:30:00,(179167.57178249548-61206.64720025752j)
2020-01-01 21:45:00,(168304.1691790269-78123.53521165528j)
2020-01-01 22:00:00,(150805.62545512026-104759.28167542438j)
2020-01-01 22:15:00,(151026.14264364014-107635.22475402454j)
2020-01-01 22:30:00,(143205.94945857875-118067.70101220498j)
2020-01-01 22:45:00,(141239.7309479089-120740.7777234963j)
2020-01-01 23:00:00,(135788.7375883874-129177.0231791669j)
2020-01-01 23:15:00,(134803.0009154187-130836.32590734707j)
2020-01-01 23:30:00,(134316.52908472344-131474.9321540944j)
2020-01-01 23:45:00,(135120.26860310556-130102.21631280117j)
