Timestamp,Circuit.feeder_rdt137-rhs1_1247x__LineLosses
2020-01-01 17:15:00,(77.64258703516116-67.26216098410679j)
2020-01-01 17:30:00,(81.8277382309853-61.479330917653016j)
2020-01-01 17:45:00,(81.77713848367515-61.4678815626594j)
2020-01-01 18:00:00,(89.65415086170259-51.394952511839165j)
2020-01-01 18:15:00,(87.80233900553813-53.82279245127685j)
2020-01-01 18:30:00,(90.0121612415424-50.70959440794392j)
2020-01-01 18:45:00,(95.20551558478508-43.538189146997716j)
2020-01-01 19:00:00,(97.93579201134816-40.0266499167898j)
2020-01-01 19:15:00,(97.01674477837527-41.25587738045633j)
2020-01-01 19:30:00,(98.84587925090045-38.73911094825359j)
2020-01-01 19:45:00,(96.163481933047-42.709452788709264j)
2020-01-01 20:00:00,(90.78345350063326-50.659669639826774j)
2020-01-01 20:15:00,(94.32361588410218-46.27856195075615j)
2020-01-01 20:30:00,(95.77741405774911-44.56944511832076j)
2020-01-01 20:45:00,(91.68080397938225-50.44884909400462j)
2020-01-01 21:00:00,(81.52713724669029-65.07881943650446j)
2020-01-01 21:15:00,(85.17164915443946-66.77463634010812j)
2020-01-01 21:30:00,(67.2864128451352-88.20503813236176j)
2020-01-01 21:45:00,(58.18023595259476-100.23745818498541j)
2020-01-01 22:00:00,(42.82164795338182-120.02528896475042j)
2020-01-01 22:15:00,(43.067486189073165-122.67199985011499j)
2020-01-01 22:30:00,(35.941954716923114-130.4093254102866j)
2020-01-01 22:45:00,(34.26280222688336-132.38596304734781j)
2020-01-01 23:00:00,(29.220999300233846-139.2660063431906j)
2020-01-01 23:15:00,(28.209922473547856-140.6338751757163j)
2020-01-01 23:30:00,(27.767200212900317-141.23932782261488j)
2020-01-01 23:45:00,(28.512669713542472-140.2373107075555j)
