Timestamp,Circuit.feeder_rdt137-rhs1_1247x__TotalPower
2020-01-01 11:15:00,(-4412.129836716791-981.1096070232703j)
2020-01-01 11:30:00,(-4196.222243453058-903.9160160097233j)
2020-01-01 11:45:00,(-4209.137474818608-926.3668179224175j)
2020-01-01 12:00:00,(-4269.7760247483975-941.7360809293245j)
2020-01-01 12:15:00,(-4205.346173853134-920.1177209918438j)
2020-01-01 12:30:00,(-4083.6571155939178-880.2666244034695j)
2020-01-01 12:45:00,(-4040.0203122611492-876.0364791220883j)
2020-01-01 13:00:00,(-3944.143706563326-843.6635722944441j)
2020-01-01 13:15:00,(-3951.6658604442196-865.5393254987599j)
2020-01-01 13:30:00,(-3872.0951229460893-855.678161772678j)
2020-01-01 13:45:00,(-3839.748903004999-866.1261840082892j)
2020-01-01 14:00:00,(-3692.337339058484-795.2497227532798j)
2020-01-01 14:15:00,(-3668.72401248491-780.3075833190048j)
2020-01-01 14:30:00,(-3706.063740652811-810.8209720713631j)
2020-01-01 14:45:00,(-3691.1147147583392-825.2510457592814j)
2020-01-01 15:00:00,(-3706.373456556027-816.3112059881694j)
2020-01-01 15:15:00,(-3688.4083215824458-825.5740268717996j)
2020-01-01 15:30:00,(-3748.0801576836943-857.6644895019675j)
2020-01-01 15:45:00,(-3850.4813472573906-901.4800097326753j)
2020-01-01 16:00:00,(-3899.1700160234736-925.2832313064716j)
2020-01-01 16:15:00,(-3935.411465761926-919.8788365167487j)
2020-01-01 16:30:00,(-4029.734691545904-923.3358888945298j)
2020-01-01 16:45:00,(-4105.9445254262255-933.0464067090836j)
2020-01-01 17:00:00,(-4298.776334159849-960.1503270845732j)
2020-01-01 17:15:00,(-4485.38340010436-1011.5063574678184j)
2020-01-01 17:30:00,(-4602.5994890161965-1054.7477325250186j)
2020-01-01 17:45:00,(-4596.7236315521295-1043.1984277090542j)
2020-01-01 18:00:00,(-4802.694120648848-1055.605708057255j)
2020-01-01 18:15:00,(-4751.165821023625-1035.4246511651745j)
2020-01-01 18:30:00,(-4807.127150551058-1065.7231995464047j)
2020-01-01 18:45:00,(-4937.346499387262-1118.3258629017905j)
2020-01-01 19:00:00,(-5014.518442096163-1103.210845976864j)
2020-01-01 19:15:00,(-4995.083663358204-1096.8087557247804j)
2020-01-01 19:30:00,(-5035.4810074439-1115.1941280255692j)
2020-01-01 19:45:00,(-4961.128108909265-1081.0692881373363j)
2020-01-01 20:00:00,(-4810.316506982915-1005.3801565384025j)
2020-01-01 20:15:00,(-4882.834132990017-1029.7967515615935j)
2020-01-01 20:30:00,(-4913.14646230862-1053.19642346289j)
2020-01-01 20:45:00,(-4805.91025177541-1032.0325093594352j)
2020-01-01 21:00:00,(-4517.434864885625-974.5389380232917j)
2020-01-01 21:15:00,(-4490.848660934647-1024.342358361891j)
2020-01-01 21:30:00,(-4041.6129963029875-882.7897783886298j)
2020-01-01 21:45:00,(-3758.045189021882-841.1448006202589j)
2020-01-01 22:00:00,(-3242.1537606525594-691.6010645881579j)
2020-01-01 22:15:00,(-3163.479374386552-718.7923077176783j)
2020-01-01 22:30:00,(-2936.447914371581-648.9964033312492j)
2020-01-01 22:45:00,(-2868.131632455736-638.5077754511822j)
2020-01-01 23:00:00,(-2642.197370569178-574.0585823554667j)
2020-01-01 23:15:00,(-2608.400796859364-554.2279247364157j)
2020-01-01 23:30:00,(-2584.449290831492-539.1648005950248j)
2020-01-01 23:45:00,(-2611.1290616730084-548.1808523157965j)
