,Transformer,HighSideConnection,NumPhases
366,Transformer.tr(r:rdt396-rdt396lv),wye,1
367,Transformer.tr(r:rdt397-rdt397lv),wye,1
368,Transformer.tr(r:rdt398-rdt398lv),wye,1
369,Transformer.tr(r:rdt399-rdt399lv),wye,1
370,Transformer.tr(r:rdt400-rdt400lv),wye,1
371,Transformer.tr(r:rdt401-rdt401lv),wye,1
372,Transformer.tr(r:rdt402-rdt402lv),wye,1
373,Transformer.tr(r:rdt403-rdt403lv),wye,1
374,Transformer.tr(r:rdt404-rdt404lv),wye,1
375,Transformer.tr(r:rdt405-rdt405lv),wye,1
376,Transformer.tr(r:rdt406-rdt406lv),wye,1
377,Transformer.tr(r:rdt407-rdt407lv),wye,1
378,Transformer.tr(r:rdt408-rdt408lv),wye,1
379,Transformer.tr(r:rdt409-rdt409lv),wye,1
380,Transformer.tr(r:rdt410-rdt410lv),wye,1
381,Transformer.tr(r:rdt411-rdt411lv),wye,1
382,Transformer.tr(r:rdt412-rdt412lv),wye,1
383,Transformer.tr(r:rdt413-rdt413lv),wye,1
384,Transformer.tr(r:rdt414-rdt414lv),wye,1
385,Transformer.tr(r:rdt415-rdt415lv),wye,1
386,Transformer.tr(r:rdt416-rdt416lv),wye,1
387,Transformer.tr(r:rdt417-rdt417lv),wye,1
388,Transformer.tr(r:rdt418-rdt418lv),wye,1
389,Transformer.tr(r:rdt419-rdt419lv),wye,1
390,Transformer.tr(r:rdt420-rdt420lv),wye,1
391,Transformer.tr(r:rdt421-rdt421lv),wye,1
392,Transformer.tr(r:rdt422-rdt422lv),wye,1
393,Transformer.tr(r:rdt423-rdt423lv),wye,1
394,Transformer.tr(r:rdt424-rdt424lv),wye,1
395,Transformer.tr(r:rdt425-rdt425lv),wye,3
396,Transformer.tr(r:rdt426-rdt426lv),wye,1
397,Transformer.tr(r:rdt427-rdt427lv),wye,1
398,Transformer.tr(r:rdt428-rdt428lv),wye,1
399,Transformer.tr(r:rdt429-rdt429lv),wye,1
400,Transformer.tr(r:rdt430-rdt430lv),wye,1
401,Transformer.tr(r:rdt431-rdt431lv),wye,1
402,Transformer.tr(r:rdt432-rdt432lv),wye,1
403,Transformer.tr(r:rdt433-rdt433lv),wye,1
404,Transformer.tr(r:rdt434-rdt434lv),wye,1
405,Transformer.tr(r:rdt435-rdt435lv),wye,1
406,Transformer.tr(r:rdt436-rdt436lv),wye,1
