,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1ilv1826,3,p1ilv1826.1.2.3,0.48,190.609086484469,0.9575,1,com_kw_14668_pu,,,,wye,57.4087043461674,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,199.0667807173,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1906,3,p1ilv1906.1.2.3,0.48,242.747648407894,0.9957,1,com_kw_15014_pu,,,,wye,22.6445321381118,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,243.801549714755,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2081,3,p1ilv2081.1.2.3,0.48,154.0874288918,0.9597,1,com_kw_15210_pu,,,,wye,45.0929029323899,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,160.550009770649,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2121,3,p1ilv2121.1.2.3,0.48,181.469762700044,0.9538,1,com_kw_14129_pu,,,,wye,57.1729572114216,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,190.263033221667,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2142,3,p1ilv2142.1.2.3,0.48,88.6249208106509,0.9993,1,com_kw_13800_pu,,,,wye,3.30809875460457,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,88.6866399525,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2223,3,p1ilv2223.1.2.3,0.48,57.6946317219824,0.9905,1,com_kw_14074_pu,,,,wye,8.00342005204571,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,58.2471051818428,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2503_1,1,p1ilv2503.1,0.12,5.65930151113221,0.9755,1,res_kw_324_pu,,,,wye,1.27612519205737,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80139544417606,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2503_2,1,p1ilv2503.2,0.12,5.65930151113221,0.9755,1,res_kw_324_pu,,,,wye,1.27612519205737,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80139544417606,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2516,3,p1ilv2516.1.2.3,0.48,242.747648407894,0.9957,1,com_kw_15014_pu,,,,wye,22.6445321381118,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,243.801549714755,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv2532,3,p1ilv2532.1.2.3,0.48,35.5757513520847,0.9715,1,com_kw_13354_pu,,,,wye,8.67905810648184,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,36.6191225165356,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
